"","id","titles","authors","tags","SDGs","weblink","keywords","description","audience"
"11",11,"SEEA: In Depth Training on Energy Accounting","UNSSC","
					Statistics
				",",,,,,,Breaking the silos,,,,,,,,,,,,,,SDG7,,,,,,,,,,,,,,SDG17,,,,,,,,,,,,,,SDG17: Systemic Issues,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/system-of-environmental-economic-accounting-seea-in-depth-training-on-energy-accounting/","energy, environment","The System for Environmental-Economic Accounting-Energy (SEEA-Energy) is a multi-purpose conceptual framework for organizing energy-related statistics. It supports analysis of the role of energy within the economy, the state of energy inputs and various energy-related transactions of environmental interest. It is fully consistent with the SEEA Central Framework. Energy information is typically presented in physical terms, but the SEEA-Energy also applies monetary valuations to various stocks and flows, based on the SEEA accounting approach.The SEEA-Energy is consistent with the SEEA Central Framework and follows a similar accounting structure to the System of National Accounts (SNA). The SEEA-Energy uses concepts, definitions and classifications consistent with the SNA in order to facilitate the integration of energy and economic statistics. By doing so, the SEEA-Energy allows us to develop indicators and conduct analysis on the economy-environment nexus, with a focus on energy.
The SEEA-Energy facilitates better informed decision-making, particularly for energy policy, climate policy and natural resource management. The SEEA-Energy offers a means of monitoring pressures exerted by the economy on the environment, in terms of extraction of energy from the environment; impacts in terms of changes in stocks of energy resources and air emissions; and how the economy responds in terms of expenditure on environmental protection and resource management. The SEEA-Energy does not propose particular indicators, but is instead a holistic multi-purpose information system that can generate a wide range of statistics and indicators with varying potential analytical applications. For example, Goal 7 of the SDGs focuses specifically on energy, and the SEEA-Energy methdology can play an important role in measuring these targets by providing a framework for the development of indicators.
The course is self-paced without instruction and can be taken at any point in time. It is available in English, Russian and Arabic
									, The System for Environmental-Economic Accounting-Energy (SEEA-Energy) is a multi-purpose conceptual framework for organizing energy-related statistics. It supports analysis of the role of energy within the economy, the state of energy inputs and various energy-related transactions of environmental interest. It is fully consistent with the SEEA Central Framework. Energy information is typically presented in physical terms, but the SEEA-Energy also applies monetary valuations to various stocks and flows, based on the SEEA accounting approach.The SEEA-Energy is consistent with the SEEA Central Framework and follows a similar accounting structure to the System of National Accounts (SNA). The SEEA-Energy uses concepts, definitions and classifications consistent with the SNA in order to facilitate the integration of energy and economic statistics. By doing so, the SEEA-Energy allows us to develop indicators and conduct analysis on the economy-environment nexus, with a focus on energy., The SEEA-Energy facilitates better informed decision-making, particularly for energy policy, climate policy and natural resource management. The SEEA-Energy offers a means of monitoring pressures exerted by the economy on the environment, in terms of extraction of energy from the environment; impacts in terms of changes in stocks of energy resources and air emissions; and how the economy responds in terms of expenditure on environmental protection and resource management. The SEEA-Energy does not propose particular indicators, but is instead a holistic multi-purpose information system that can generate a wide range of statistics and indicators with varying potential analytical applications. For example, Goal 7 of the SDGs focuses specifically on energy, and the SEEA-Energy methdology can play an important role in measuring these targets by providing a framework for the development of indicators., The course is self-paced without instruction and can be taken at any point in time. It is available in English, Russian and Arabic, 
					Target audience
					The target audience includes compilers (and potential compilers) of SEEA-Energy accounts. The target audience also includes ministries or experts which provide data used in SEEA-Energy accounts (e.g. energy statistics, energy balances). Policy analysts, particularly those working on energy or climate change policy, may also find this course useful.
				, The target audience includes compilers (and potential compilers) of SEEA-Energy accounts. The target audience also includes ministries or experts which provide data used in SEEA-Energy accounts (e.g. energy statistics, energy balances). Policy analysts, particularly those working on energy or climate change policy, may also find this course useful., 
					Learning objectives
					Understand the conceptual framework used for the SEEA-Energy
Learn the basic concepts, definitions and classifications used in the SEEA-Energy
Understand the relationship between energy statistics, balances and the SEEA-Energy
Understand how the SEEA-Energy contributes to developing sustainable energy policies
","
					Target audience
					The target audience includes compilers (and potential compilers) of SEEA-Energy accounts. The target audience also includes ministries or experts which provide data used in SEEA-Energy accounts (e.g. energy statistics, energy balances). Policy analysts, particularly those working on energy or climate change policy, may also find this course useful.
				"
"12",12,"SEEA: In-depth Training on Water Accounting","UNEP","
					Statistics
				",",,,,,,Mulitple SDGs,,,,,,,,,,","https://www.unsdglearn.org/courses/seea-in-depth-training-on-water-accounting/","water, water resources","The System of Environmental-Economic Accounts for Water (SEEA-Water) is an integrated approach to water monitoring, bringing together a wide range of water related statistics across sectors into one coherent information system. The SEEA-Water is the conceptual framework and set of accounts which presents hydrological information alongside economic information in a consistent way. The SEEA-Water is consistent with the SEEA Central Framework and follows a similar accounting structure to the System of National Accounts (SNA). The SEEA-Water uses concepts, definitions and classifications consistent with the SNA in order to facilitate the integration of environmental and economic statistics. By doing so, the SEEA-Water allows us to develop indicators and conduct analysis on the economy-environment nexus, with a focus on water.
The SEEA-Water facilitates better informed decision-making, particularly for integrated water resources management. The SEEA-Water offers a means of monitoring pressures exerted by the economy on the environment, in terms of abstraction of water from the environment; impacts in terms of changes in stocks of water; and how the economy responds in terms of expenditure on environmental protection and resource management. The SEEA-Water does not propose particular indicators, but is instead a holistic multi-purpose information system that can generate a wide range of statistics and indicators with varying potential analytical applications. For example, Goal 6 of the SDGs focuses specifically on water and includes calls for improving water quality by reducing pollution, eliminating dumping and the release of hazardous materials, reducing the proportion of untreated wastewater and increasing recycling and safe reuse of water. The SEEA-Water methodology can play an important role in measuring these targets by providing a framework for the development of indicators.
The course is self-paced without instruction and can be taken at any point in time.
The course is available in English and Arabic.
									, The System of Environmental-Economic Accounts for Water (SEEA-Water) is an integrated approach to water monitoring, bringing together a wide range of water related statistics across sectors into one coherent information system. The SEEA-Water is the conceptual framework and set of accounts which presents hydrological information alongside economic information in a consistent way. The SEEA-Water is consistent with the SEEA Central Framework and follows a similar accounting structure to the System of National Accounts (SNA). The SEEA-Water uses concepts, definitions and classifications consistent with the SNA in order to facilitate the integration of environmental and economic statistics. By doing so, the SEEA-Water allows us to develop indicators and conduct analysis on the economy-environment nexus, with a focus on water., The SEEA-Water facilitates better informed decision-making, particularly for integrated water resources management. The SEEA-Water offers a means of monitoring pressures exerted by the economy on the environment, in terms of abstraction of water from the environment; impacts in terms of changes in stocks of water; and how the economy responds in terms of expenditure on environmental protection and resource management. The SEEA-Water does not propose particular indicators, but is instead a holistic multi-purpose information system that can generate a wide range of statistics and indicators with varying potential analytical applications. For example, Goal 6 of the SDGs focuses specifically on water and includes calls for improving water quality by reducing pollution, eliminating dumping and the release of hazardous materials, reducing the proportion of untreated wastewater and increasing recycling and safe reuse of water. The SEEA-Water methodology can play an important role in measuring these targets by providing a framework for the development of indicators., The course is self-paced without instruction and can be taken at any point in time., The course is available in English and Arabic., 
					Target audience
					The target audience includes compilers (and potential compilers) of SEEA-Water accounts. The target audience also includes ministries or experts which provide data used in SEEA-Water accounts. Policy analysts and those working on integrated water resources management may also find this course useful.
				, The target audience includes compilers (and potential compilers) of SEEA-Water accounts. The target audience also includes ministries or experts which provide data used in SEEA-Water accounts. Policy analysts and those working on integrated water resources management may also find this course useful., 
					Learning objectives
					Understand the conceptual framework used for the SEEA-Water
Learn the basic concepts, definitions and classifications used in the SEEA-Water
Learn how the SEEA-Water is implemented in countries
Understand how the SEEA-Water contributes to developing policies for integrated water resources management and sustainable development
","
					Target audience
					The target audience includes compilers (and potential compilers) of SEEA-Water accounts. The target audience also includes ministries or experts which provide data used in SEEA-Water accounts. Policy analysts and those working on integrated water resources management may also find this course useful.
				"
"13",13,"Integrated Economic Statistics to support 2008 SNA implementation",",,,,,,,,,,,,,,,,,,,,United Nations Institute for Training and Research,,,,,,,,,,,,","
					Statistics
				",",,,,,,Breaking the silos,,,,,,,,,,,,,,SDG8,,,,,,,,,,,,,,SDG17,,,,,,,,,,,,,,SDG17: Systemic Issues,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/intermediate-e-learning-course-on-integrated-economic-statistics-to-support-2008-sna-implementation/","national accounts, economic outlook, official statistics","This intermediate course on the integrated economic statistics focuses on the following topics:
Statistical Infrastructure for Economic Statistics
Administrative data sources
Economic Census, Surveys and statistical registers
Classification Frameworks

An overview of SNA – a brief recap
Domestic economy and the Rest of the World
Institutional units & sectors
SNA Aggregates and their coverage
SNA framework

Integrating economic censuses and business surveys into SUT/SNA estimation
Linkages of economic censuses to SNA measures
SNA measures in economic census questionnaires
Bench-marking SUT/GDP using economic census

Estimation Methods
Estimation of output and value added
Derivation of volume measures
Supply and Use Methods
Implications of 2008 SNA on GDP measures

, This intermediate course on the integrated economic statistics focuses on the following topics:, 
					Target audience
					Statisticians and economists working in the compilation of national accounts.
Researchers and others interested in the details of the national accounts.
 
				,  , 
					Learning objectives
					The course is designed with the following objectives:
Rationalize data sources for economic statistics and understand the inter-linkages between the various data collections and compilations;
Plan for effective economic census questionnaires and tabulation plans;
Plan for the use of economic census results for other economic data collections and in the compilation of national accounts.
At the end of the course, participants are expected to be able to:
Identify the data flows and additional data needs for implementing the recommendations of the 2008 SNA and core economic statistics as identified in the UNESCAP regional programme for economic statistics;
Build effective economic census instruments and analytical plan.
, The course is designed with the following objectives:, At the end of the course, participants are expected to be able to:","
					Target audience
					Statisticians and economists working in the compilation of national accounts.
Researchers and others interested in the details of the national accounts.
 
				"
"14",14,"Policy Coherence for Sustainable Development",",,,,,,,,,,,,,,,,,,,,SDG Academy,,,,,,,,,,,,","
						Policy Coherence
					",",,,,,,2030 Agenda,,,,,,,,,,,,,,Breaking the silos,,,,,,,,,,,,,,SDG17,,,,,,,,,,,,,,SDG17: Systemic Issues,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/policy-coherence-for-sustainable-development/","policy coherence for sustainable development","This course was designed by the UN System Staff College Knowledge Centre for Sustainable Development, in coordination with the National University of Singapore acting through its Lee Kuan Yew School of Public Policy and the Hertie School of Governance based in Berlin, and in collaboration with the OECD Policy Coherence for Sustainable Development Unit in Paris.
The course explores approaches to cross-organizational and cross-sectoral policy coherence on the national, regional and international levels, with a view to equipping participants with an understanding of why policy coherence is important for achieving sustainable development, what coherent policymaking entails, and what are some specific tools, mechanisms and approaches that can be employed to foster policy coherence.
									, This course was designed by the UN System Staff College Knowledge Centre for Sustainable Development, in coordination with the National University of Singapore acting through its Lee Kuan Yew School of Public Policy and the Hertie School of Governance based in Berlin, and in collaboration with the OECD Policy Coherence for Sustainable Development Unit in Paris., The course explores approaches to cross-organizational and cross-sectoral policy coherence on the national, regional and international levels, with a view to equipping participants with an understanding of why policy coherence is important for achieving sustainable development, what coherent policymaking entails, and what are some specific tools, mechanisms and approaches that can be employed to foster policy coherence., 
					Target audience
					UN staff from headquarters, country teams or regional offices, government representatives, development practitioners as well as members of civil society, academia and foundations.
				, UN staff from headquarters, country teams or regional offices, government representatives, development practitioners as well as members of civil society, academia and foundations., 
					Learning objectives
					Upon successful completion of this course, participants will:
Demonstrate a sound understanding of the vision and principles underlying the 2030 Agenda, the evolution of the concept of policy coherence for sustainable development and the importance of policy coherence for sustainable development;
Demonstrate a good understanding of the relevance of policy coherence as an approach and a tool to achieve sustainable development outcomes, and be able to recognize policies that are mutually reinforcing across governance levels;
Be equipped with knowledge of the specific tools, mechanisms and approaches that can be employed to foster policy coherence, including partnerships and multi-stakeholder engagement.
, Upon successful completion of this course, participants will:","
					Target audience
					UN staff from headquarters, country teams or regional offices, government representatives, development practitioners as well as members of civil society, academia and foundations.
				"
"15",15,"UN Strategic Communications for the 2030 Agenda",",,,,,,,,,,,,,,,,,,,,SDG Lab, UNOG,,,,,,,,,,,,","
						Communication
					",",,,,,,2030 Agenda,,,,,,,,,,,,,,Breaking the silos,,,,,,,,,,,,,,Leave no one behind,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/un-strategic-communications-for-the-2030-agenda/","communications, 2030 Agenda","Effective communications can strengthen the UN’s reputation, positioning and ability to inspire action. The world needs credible and convincing leaders capable of telling powerful stories to achieve the Sustainable Development Goals (SDGs). Moreover, the world needs UN practitioners who understand the importance of creating a cohesive, effective communications process that is aligned with the vision and mission of the organization. In addition, the world needs messengers of hope who are able to capture people’s imagination and offer solutions.
The course will enable participants to:
Convey what the UN development system is doing to help a country achieve the SDGs, and to point out what the UN is doing right, what is possible, and how the UN is making a difference
Plan strategically for an impactful dissemination of results: Selecting the right channels, addressing the right audiences and transmitting the right messages
Mitigate risks while communicating within the context of an emerging or ongoing crisis
Create a space for communications during the design and delivery of UN programmes
Help expand partnerships and collaboration within UN agencies, governments and other development partners to advance the SDGs
, Effective communications can strengthen the UN’s reputation, positioning and ability to inspire action. The world needs credible and convincing leaders capable of telling powerful stories to achieve the Sustainable Development Goals (SDGs). Moreover, the world needs UN practitioners who understand the importance of creating a cohesive, effective communications process that is aligned with the vision and mission of the organization. In addition, the world needs messengers of hope who are able to capture people’s imagination and offer solutions., The course will enable participants to:, 
					Target audience
					Communications officers and associates from the UN system or UN practitioners assigned as UN communication focal points at country level
				, Communications officers and associates from the UN system or UN practitioners assigned as UN communication focal points at country level, 
					Learning objectives
					At the end of this course, participants will possess a good understanding of strategic communications, communications coordination, crisis communications, and ways to employ communication tools to advance sustainable development at global and national levels.
Understand the Global Communications Strategy of the United Nations and the shift to an audience-focused, impact-oriented approach.
Gain improved skills in strategic communications and how to apply them to the 2030 Agenda.
Have an improved understanding of crisis communications, reputation management and the management of misinformation.
Apply a Theory of Change to communications strategies.
Enhance individual communication skills in a selected range of areas for professional development to deliver effectively on the 2030 Agenda.
Develop an interagency network of UN communications professionals and focal points to exchange information on best practices and know-how at the global level.
, At the end of this course, participants will possess a good understanding of strategic communications, communications coordination, crisis communications, and ways to employ communication tools to advance sustainable development at global and national levels.","
					Target audience
					Communications officers and associates from the UN system or UN practitioners assigned as UN communication focal points at country level
				"
"16",16,"SEEA Experimental Ecosystem Accounting","SDG Lab","
					Statistics
				",",,,,,,Breaking the silos,,,,,,,,,,,,,,SDG15,,,,,,,,,,,,,,SDG17,,,,,,,,,,,,,,SDG17: Systemic Issues,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/seea-experimental-ecosystem-accounting/","Agenda 2030, ecosystems","The SEEA EEA constitutes an integrated statistical framework for organizing biophysical data, measuring ecosystem services, tracking changes in ecosystem assets and linking this information to economic and other human activity. The SEEA EEA complements the SEEA Central Framework by taking a different perspective. The Central Framework looks at “individual environmental assets”, such as water resources, energy resources, etc. and how those assets move between the environment and the economy. In contrast, the SEEA EEA takes the perspective of ecosystems and considers how individual environmental assets interact as part of natural processes within a given spatial area. Ecosystem accounting takes a spatial approach, often utilizing earth observation and geospatial data. Using this spatial approach, the SEEA EEA accounts for the extent and condition of ecosystems, the flow of services provided by ecosystems and the contributions and benefits of ecosystems to economic and other human activity.
This course provides an overview of the SEEA EEA, including how the SEEA EEA can be used for policy. The course covers ecosystem extent, condition and service accounts as well as accounting for biodiversity, water and carbon.
The course is self-paced without instruction and can be taken at any point in time.
The course is available in English and Spanish.
									, The SEEA EEA constitutes an integrated statistical framework for organizing biophysical data, measuring ecosystem services, tracking changes in ecosystem assets and linking this information to economic and other human activity. The SEEA EEA complements the SEEA Central Framework by taking a different perspective. The Central Framework looks at “individual environmental assets”, such as water resources, energy resources, etc. and how those assets move between the environment and the economy. In contrast, the SEEA EEA takes the perspective of ecosystems and considers how individual environmental assets interact as part of natural processes within a given spatial area. Ecosystem accounting takes a spatial approach, often utilizing earth observation and geospatial data. Using this spatial approach, the SEEA EEA accounts for the extent and condition of ecosystems, the flow of services provided by ecosystems and the contributions and benefits of ecosystems to economic and other human activity., This course provides an overview of the SEEA EEA, including how the SEEA EEA can be used for policy. The course covers ecosystem extent, condition and service accounts as well as accounting for biodiversity, water and carbon., The course is self-paced without instruction and can be taken at any point in time., The course is available in English and Spanish., 
					Target audience
					The target audience includes compilers (and potential compilers) of SEEA EEA accounts. The target audience also includes ministries or experts which provide data used in SEEA EEA accounts. Policy analysts may also find this course useful.
				, The target audience includes compilers (and potential compilers) of SEEA EEA accounts. The target audience also includes ministries or experts which provide data used in SEEA EEA accounts. Policy analysts may also find this course useful., 
					Learning objectives
					Understand the conceptual framework used for the SEEA EEA
Learn the basic concepts, definitions and classifications used in the SEEA EEA
Understand how the SEEA EEA contributes to developing policies for sustainable development
","
					Target audience
					The target audience includes compilers (and potential compilers) of SEEA EEA accounts. The target audience also includes ministries or experts which provide data used in SEEA EEA accounts. Policy analysts may also find this course useful.
				"
"17",17,"Policy cycle, integrated approaches and SDGs for African LDCs","UNOG","
						2030 Agenda and SDGs
					",",,,,,,Breaking the silos,,,,,,,,,,,,,,Leave no one behind,,,,,,,,,,,,,,SDG17,,,,,,,,,,,,,,SDG17: Systemic Issues,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/policy-cycle-integrated-approaches-and-sdgs-for-african-ldcs-and-other-african-countries/","2030 Agenda, policy cycle, integrated approaches, SDGs, integration","This toolkit developed by UNITAR in collaboration with the UN family explains the theory and practical implications behind policy integration and Leave No One Behind imperatives. Based on this improved understanding, it then aims to support more harmonized approaches towards incorporating the SDGs across the national policy cycle: from integrated planning to aligned budgeting frameworks and monitoring and evaluation (M&E) systems, reviews and reporting.
The toolkit is available in two versions. The first version is specifically customized for African Least Developed Countries (LDCs) and available in both English and French. The second version is a Generic one in English with world-wide case studies.
											
							Download syllabus
							
									, This toolkit developed by UNITAR in collaboration with the UN family explains the theory and practical implications behind policy integration and Leave No One Behind imperatives. Based on this improved understanding, it then aims to support more harmonized approaches towards incorporating the SDGs across the national policy cycle: from integrated planning to aligned budgeting frameworks and monitoring and evaluation (M&E) systems, reviews and reporting., The toolkit is available in two versions. The first version is specifically customized for African Least Developed Countries (LDCs) and available in both English and French. The second version is a Generic one in English with world-wide case studies., 
					Target audience
					Government officers;
UN Country Team;
Media representatives;
NGOs;
Business and industry;
Trade unions;
Community leaders;
Academia and universities;
Philanthropists;
Youth organizations;
Country-based international partners, etc.
, 
					Learning objectives
					As a result of the training, participants should be better positioned to:
Describe the core competencies for leadership aligned with the SDGs and the 2030 Agenda and identify current capacity gaps;
Localize the SDGs in the national context and describe existing mechanisms for monitoring, evaluation and reporting related to the SDGs and national goals;
Explain the importance of coherence between the different stages of the policy cycle and provide examples of approaches that could reinforce this coherence;
Apply frameworks and analytical tools for integrated analysis and decision-making;
Analyze policies and programs in light of the key principle of Agenda 2030 “Leave No One Behind”;
Promote participatory approaches at different stages of the policy cycle.
, As a result of the training, participants should be better positioned to:","
					Target audience
					Government officers;
UN Country Team;
Media representatives;
NGOs;
Business and industry;
Trade unions;
Community leaders;
Academia and universities;
Philanthropists;
Youth organizations;
Country-based international partners, etc.
"
"18",18,"Policy cycle, integrated approaches and SDGs",",,,,,,,,,,,,,,,,,,,,UNITAR, MI,,,,,,,,,,,,","
						2030 Agenda and SDGs
					",",,,,,,Breaking the silos,,,,,,,,,,,,,,Leave no one behind,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/policy-cycle-integrated-approaches-and-sdgs/","2030 Agenda, policy cycle, integrated approaches, SDGs, integration","This toolkit developed by UNITAR in collaboration with the UN family explains the theory and practical implications behind policy integration and Leave No One Behind imperatives. Based on this improved understanding, it then aims to support more harmonized approaches towards incorporating the SDGs across the national policy cycle: from integrated planning to aligned budgeting frameworks and monitoring and evaluation (M&E) systems, reviews and reporting.
The toolkit is available in two versions. This version is a Generic one and available in English with world-wide case studies. The second version is specifically customized for African Least Developed Countries (LDCs) and available in both English and French.
									, This toolkit developed by UNITAR in collaboration with the UN family explains the theory and practical implications behind policy integration and Leave No One Behind imperatives. Based on this improved understanding, it then aims to support more harmonized approaches towards incorporating the SDGs across the national policy cycle: from integrated planning to aligned budgeting frameworks and monitoring and evaluation (M&E) systems, reviews and reporting., The toolkit is available in two versions. This version is a Generic one and available in English with world-wide case studies. The second version is specifically customized for African Least Developed Countries (LDCs) and available in both English and French., 
					Target audience
					Government officers;
UN Country Team;
Media representatives;
NGOs;
Business and industry;
Trade unions;
Community leaders;
Academia and universities;
Philanthropists;
Youth organizations;
Country-based international partners, etc.
, 
					Learning objectives
					As a result of the training, participants should be better positioned to:
Describe the core competencies for leadership aligned with the SDGs and the 2030 Agenda and identify current capacity gaps;
Localize the SDGs in the national context and describe existing mechanisms for monitoring, evaluation and reporting related to the SDGs and national goals;
Explain the importance of coherence between the different stages of the policy cycle and provide examples of approaches that could reinforce this coherence;
Apply frameworks and analytical tools for integrated analysis and decision-making;
Analyze policies and programs in light of the key principle of Agenda 2030 “Leave No One Behind”;
Promote participatory approaches at different stages of the policy cycle.
, As a result of the training, participants should be better positioned to:","
					Target audience
					Government officers;
UN Country Team;
Media representatives;
NGOs;
Business and industry;
Trade unions;
Community leaders;
Academia and universities;
Philanthropists;
Youth organizations;
Country-based international partners, etc.
"
"19",19,"Integrated policies and policy coherence for SDGs","UNITAR","
						Integrated policies and policy coherence
					",",,,,,,Breaking the silos,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/integrated-policies-and-policy-coherence-for-sdgs/","system thinking, integrated policies, policy coherence, integrated planning, SDGs","This toolkit has been jointly developed by UNITAR, the Division for Public Institutions and Digital Governance (DPIDG) of UN Department of Economic and Social Affairs (UN DESA) and the UN Economic Commission for Latin America and the Caribbean (ECLAC). It goes a step further in promoting policy coherence through the participatory strategic planning and is recommended for use in situations where there is an interest to go deeper into the “how-to” of integrated planning, beyond the good practices presented in the foundational toolkit “Policy cycle, integrated approaches and SDGs”.
The toolkit is comprised of comprehensive training materials to apply systemic approaches to analyze the interactions between different SDG areas and to design integrated policies. Key methodological areas of the toolkit are system thinking, policy coherence, institutional arrangements and stakeholder engagement among others. The toolkit aims to facilitate government officials, academia, UN Country Teams and other national experts to conduct trainings.
The toolkit comprised of following modukes and sessions that could be used to conduct a national training:
Module: A holistic approach to policy coherence: key building blocks
Module: Governance and stakeholders’ engagement and capacities to implement the SDGs
Module: Enhancing policy design capacity through system thinking and analysis
Module: Evaluating policy options for coherence and developing integrated national strategies
Module: Assessing governance and institutional capacities for policy coherence and integration
In Focus: Integrated policy design in practice
Facilitation
Action planning
Evaluation
The toolkit is available in English and French.
 
									, This toolkit has been jointly developed by UNITAR, the Division for Public Institutions and Digital Governance (DPIDG) of UN Department of Economic and Social Affairs (UN DESA) and the UN Economic Commission for Latin America and the Caribbean (ECLAC). It goes a step further in promoting policy coherence through the participatory strategic planning and is recommended for use in situations where there is an interest to go deeper into the “how-to” of integrated planning, beyond the good practices presented in the foundational toolkit “Policy cycle, integrated approaches and SDGs”., The toolkit is comprised of comprehensive training materials to apply systemic approaches to analyze the interactions between different SDG areas and to design integrated policies. Key methodological areas of the toolkit are system thinking, policy coherence, institutional arrangements and stakeholder engagement among others. The toolkit aims to facilitate government officials, academia, UN Country Teams and other national experts to conduct trainings., The toolkit comprised of following modukes and sessions that could be used to conduct a national training:, The toolkit is available in English and French.,  , 
					Target audience
					National experts – government officials, academics, UN Country Teams, and others.
				, National experts – government officials, academics, UN Country Teams, and others., 
					Learning objectives
					At the end of the training, learners will be better positioned to:
Define key building blocks of any holistic, integrated planning and policy coherence framework;
Map and engage effectively with key stakeholders in the national priority-setting process;
Apply elements of systems thinking to assess intersectoral interactions, identify nationally relevant “leverage points” (or “accelerators”) and build interaction maps;
Describe possible approaches to developing coherent policy options across sectors and designing a consultative process to develop an integrated strategy;
Conduct institutional readiness assessment against SDG requirements.
In addition, learners will:
Develop an individual action plan to incorporate relevant knowledge in their professional context;
Be able to either provide policy leadership, train other stakeholders, or coach their colleagues on the development of integrated policies.
, At the end of the training, learners will be better positioned to:, In addition, learners will:","
					Target audience
					National experts – government officials, academics, UN Country Teams, and others.
				"
"20",20,"Policy Coherence and Systems Thinking for Sustainable Development","MI","
						Policy Coherence
					",",,,,,,2030 Agenda,,,,,,,,,,,,,,Breaking the silos,,,,,,,,,,,,,,Leave no one behind,,,,,,,,,,,,,,SDG17,,,,,,,,,,,,,,,,","https://www.unsdglearn.org/courses/policy-coherence-and-systems-thinking-for-sustainable-development/","policy coherence for sustainable development, system thinking","Conventional approaches to development often focus on sector-specific economic results, working under the assumption that markets function perfectly. Such approaches do not adequately consider externalities and their impact on society, equity or the environment. They also often ignore the transboundary and inter-generational effects which results in siloed, contradictory policies that can undermine one another.
This course explores ways to uncover system interconnections and foster integration across the Sustainable Development Goals, against a backdrop of political economy analysis. It explores the concept of systems thinking, as well as a cross-organizational and cross-sectoral policy coherence at the national, regional and international levels. It aims at equipping participants with an understanding of why a focus on system interconnections is key for achieving sustainable development, what coherent policymaking entails, and what are some specific tools, mechanisms and approaches that can be employed to foster both. This need for a systemic and coherence view is more evident than ever as the global COVID-19 pandemic has interrupted our journey towards transformative change and risks reversing decades of development gains.
This course was designed by the UN System Staff College, in coordination with the National University of Singapore acting through its Lee Kuan Yew School of Public Policy and the Hertie School – The University of Governance in Berlin, and in collaboration with the OECD Policy Coherence for Sustainable Development Unit in Paris.
									, Conventional approaches to development often focus on sector-specific economic results, working under the assumption that markets function perfectly. Such approaches do not adequately consider externalities and their impact on society, equity or the environment. They also often ignore the transboundary and inter-generational effects which results in siloed, contradictory policies that can undermine one another., This course explores ways to uncover system interconnections and foster integration across the Sustainable Development Goals, against a backdrop of political economy analysis. It explores the concept of systems thinking, as well as a cross-organizational and cross-sectoral policy coherence at the national, regional and international levels. It aims at equipping participants with an understanding of why a focus on system interconnections is key for achieving sustainable development, what coherent policymaking entails, and what are some specific tools, mechanisms and approaches that can be employed to foster both. This need for a systemic and coherence view is more evident than ever as the global COVID-19 pandemic has interrupted our journey towards transformative change and risks reversing decades of development gains., This course was designed by the UN System Staff College, in coordination with the National University of Singapore acting through its Lee Kuan Yew School of Public Policy and the Hertie School – The University of Governance in Berlin, and in collaboration with the OECD Policy Coherence for Sustainable Development Unit in Paris., 
					Target audience
					UN staff from headquarters, country teams or regional offices, government representatives, development practitioners as well as members of civil society, the private sector, academia and foundations.
				, UN staff from headquarters, country teams or regional offices, government representatives, development practitioners as well as members of civil society, the private sector, academia and foundations., 
					Learning objectives
					Upon successful completion of this course, participants will:
Demonstrate a sound understanding of the vision and principles underlying the 2030 Agenda, the evolution of the concept of policy coherence for sustainable development and the importance of policy coherence for sustainable development;
Demonstrate a sound understanding of systems thinking and systems mapping, as a framework of thought;
Demonstrate a good understanding of the relevance of policy coherence as an approach and a tool to achieve sustainable development outcomes, and be able to recognize policies that are mutually reinforcing across governance levels;
Be equipped with knowledge of the specific tools, mechanisms and approaches that can be employed to foster systems thinking and policy coherence, including partnerships and multi-stakeholder engagement.
, Upon successful completion of this course, participants will:","
					Target audience
					UN staff from headquarters, country teams or regional offices, government representatives, development practitioners as well as members of civil society, the private sector, academia and foundations.
				"
